league_id,name,country,season,events,lineups,statistics_fixtures,statistics_players,standings,odds,xg_probable
1032,Copa de la Liga Profesional,Argentina,2024,True,True,True,True,True,False,True
128,Liga Profesional Argentina,Argentina,2026,True,True,True,True,True,False,True
188,A-League,Australia,2025,True,True,True,True,True,False,True
219,2. Liga,Austria,2025,True,True,True,True,True,False,True
218,Bundesliga,Austria,2025,True,True,True,True,True,False,True
145,Challenger Pro League,Belgium,2025,True,True,True,True,True,False,True
144,Jupiler Pro League,Belgium,2025,True,True,True,True,True,False,True
344,Primera División,Bolivia,2026,True,True,True,True,True,True,True
624,Carioca - 1,Brazil,2026,True,True,True,True,True,False,True
73,Copa Do Brasil,Brazil,2026,True,True,True,True,False,False,True
475,Paulista - A1,Brazil,2026,True,True,True,True,True,False,True
71,Serie A,Brazil,2026,True,True,True,True,True,True,True
72,Serie B,Brazil,2026,True,True,True,True,True,True,True
479,Canadian Premier League,Canada,2026,True,True,True,True,True,True,True
265,Primera División,Chile,2026,True,True,True,True,True,True,True
169,Super League,China,2026,True,True,True,True,True,False,True
239,Primera A,Colombia,2026,True,True,True,True,True,False,True
318,1. Division,Cyprus,2025,True,True,True,True,True,False,True
345,Czech Liga,Czech-Republic,2025,True,True,True,True,True,False,True
242,Liga Pro,Ecuador,2026,True,True,True,True,True,True,True
233,Premier League,Egypt,2025,True,True,True,True,True,False,True
40,Championship,England,2025,True,True,True,True,True,False,True
528,Community Shield,England,2025,True,True,True,True,False,False,True
46,EFL Trophy,England,2025,True,True,True,True,True,False,True
45,FA Cup,England,2025,True,True,True,True,False,False,True
44,FA WSL,England,2025,True,True,True,True,True,False,True
41,League One,England,2025,True,True,True,True,True,False,True
42,League Two,England,2025,True,True,True,True,True,False,True
39,Premier League,England,2025,True,True,True,True,True,False,True
244,Veikkausliiga,Finland,2026,True,True,True,True,True,True,True
66,Coupe de France,France,2025,True,True,True,True,False,False,True
64,Feminine Division 1,France,2025,True,True,True,True,True,False,True
79,2. Bundesliga,Germany,2025,True,True,True,True,True,False,True
80,3. Liga,Germany,2025,True,True,True,True,True,False,True
78,Bundesliga,Germany,2025,True,True,True,True,True,False,True
82,Frauen Bundesliga,Germany,2025,True,True,True,True,True,False,True
529,Super Cup,Germany,2025,True,True,True,True,False,False,True
197,Super League 1,Greece,2025,True,True,True,True,True,False,True
271,NB I,Hungary,2025,True,True,True,True,True,False,True
323,Indian Super League,India,2025,True,True,True,True,True,False,True
357,Premier Division,Ireland,2026,True,True,True,True,True,True,True
383,Ligat Ha'al,Israel,2025,True,True,True,True,True,False,True
137,Coppa Italia,Italy,2025,True,True,True,True,False,False,True
139,Serie A Women,Italy,2025,True,True,True,True,True,False,True
136,Serie B,Italy,2025,True,True,True,True,True,False,True
547,Super Cup,Italy,2025,True,True,True,True,False,False,True
90,KNVB Beker,Netherlands,2025,True,True,True,True,False,False,True
543,Super Cup,Netherlands,2024,True,True,True,True,False,False,True
103,Eliteserien,Norway,2026,True,True,True,True,True,False,True
250,Division Profesional - Apertura,Paraguay,2026,True,True,True,True,True,False,True
281,Primera División,Peru,2026,True,True,True,True,True,False,True
94,Primeira Liga,Portugal,2025,True,True,True,True,True,False,True
95,Segunda Liga,Portugal,2025,True,True,True,True,True,False,True
96,Taça de Portugal,Portugal,2025,True,True,True,True,False,False,True
305,Stars League,Qatar,2025,True,True,True,True,True,False,True
283,Liga I,Romania,2025,True,True,True,True,True,False,True
236,First League,Russia,2025,True,True,True,True,True,False,True
235,Premier League,Russia,2025,True,True,True,True,True,False,True
307,Pro League,Saudi-Arabia,2025,True,True,True,True,True,False,True
179,Premiership,Scotland,2025,True,True,True,True,True,False,True
288,Premier Soccer League,South-Africa,2025,True,True,True,True,True,True,True
292,K League 1,South-Korea,2026,True,True,True,True,True,False,True
143,Copa del Rey,Spain,2025,True,True,True,True,False,False,True
140,La Liga,Spain,2025,True,True,True,True,True,False,True
141,Segunda División,Spain,2025,True,True,True,True,True,True,True
556,Super Cup,Spain,2025,True,True,True,True,False,False,True
113,Allsvenskan,Sweden,2026,True,True,True,True,True,True,True
549,Damallsvenskan,Sweden,2026,True,True,True,True,True,True,True
114,Superettan,Sweden,2026,True,True,True,True,True,True,True
207,Super League,Switzerland,2025,True,True,True,True,True,False,True
296,Thai League 1,Thailand,2025,True,True,True,True,True,False,True
204,1. Lig,Turkey,2025,True,True,True,True,True,False,True
551,Super Cup,Turkey,2025,True,True,True,True,False,False,True
203,Süper Lig,Turkey,2025,True,True,True,True,True,False,True
206,Türkiye Kupası,Turkey,2025,True,True,True,True,True,False,True
333,Premier League,Ukraine,2025,True,True,True,True,True,False,True
301,Pro League,United-Arab-Emirates,2025,True,True,True,True,True,False,True
253,Major League Soccer,USA,2026,True,True,True,True,True,False,True
254,NWSL Women,USA,2026,True,True,True,True,True,False,True
17,AFC Champions League Elite,World,2025,True,True,True,True,True,False,True
18,AFC Champions League Two,World,2025,True,True,True,True,False,False,True
6,Africa Cup of Nations,World,2025,True,True,True,True,True,False,True
768,Arab Club Champions Cup,World,2023,True,True,True,True,False,False,True
12,CAF Champions League,World,2025,True,True,True,True,True,False,True
20,CAF Confederation Cup,World,2025,True,True,True,True,True,False,True
533,CAF Super Cup,World,2025,True,True,True,True,False,False,True
16,CONCACAF Champions League,World,2026,True,True,True,True,False,False,True
22,CONCACAF Gold Cup,World,2025,True,True,True,True,True,False,True
536,CONCACAF Nations League,World,2024,True,True,True,True,False,False,True
13,CONMEBOL Libertadores,World,2026,True,True,True,True,True,False,True
11,CONMEBOL Sudamericana,World,2026,True,True,True,True,True,False,True
9,Copa America,World,2024,True,True,True,True,True,False,True
4,Euro Championship,World,2024,True,True,True,True,True,False,True
960,Euro Championship - Qualification,World,2023,True,True,True,True,True,False,True
15,FIFA Club World Cup,World,2025,True,True,True,True,True,False,True
1168,FIFA Intercontinental Cup,World,2025,True,True,True,True,False,False,True
10,Friendlies,World,2026,True,True,True,True,False,True,True
480,Olympics Men,World,2024,True,True,True,True,True,False,True
525,UEFA Champions League Women,World,2025,True,True,True,True,True,False,True
743,UEFA Championship - Women,World,2025,True,True,True,True,True,False,True
531,UEFA Super Cup,World,2025,True,True,True,True,False,False,True
38,UEFA U21 Championship,World,2025,True,True,True,True,True,False,True
1,World Cup,World,2026,True,True,True,True,True,True,True
29,World Cup - Qualification Africa,World,2023,True,True,True,True,True,False,True
30,World Cup - Qualification Asia,World,2026,True,True,True,True,True,False,True
31,World Cup - Qualification CONCACAF,World,2026,True,True,True,True,True,False,True
32,World Cup - Qualification Europe,World,2024,True,True,True,True,True,False,True
37,World Cup - Qualification Intercontinental Play-offs,World,2026,True,True,True,True,False,False,True
34,World Cup - Qualification South America,World,2026,True,True,True,True,True,False,True
490,World Cup - U20,World,2025,True,True,True,True,False,False,True
8,World Cup - Women,World,2023,True,True,True,True,True,False,True
